用户名,性别,IP地址,评论内容
dreamzylfei,保密,安徽,牛逼，帅气！
消失的人儿,保密,浙江,接口类配件全部要更新，口袋本来就扁，缺钱了就用这种方式来让我们还零件吗？[撇嘴]
坏事做尽马里奥,男,江苏,wtf
手撕橘子,男,广东,ps就可以从1叫到5 ns从1到2就要褒姒了？
居无定所的芸,男,泰国,好像确实没有tf卡槽了？要开始学苹果卖储存空间了吗？
胶囊罐头,保密,广东,你这个底座不会就是拿一代改的吧，这夹不完屏幕看着也太怪了
markmd,保密,山东,这个工业设计跟前代相比退步过于巨大了
Robbie888,男,广东,预告了预告，老任，真有你的[笑哭][笑哭]
ho0v-Pa0w-bi0f,保密,四川,这性能，原神终于可以兑现诺言上switch平台了[doge]
AppleArcade,保密,日本,大的？….大的来了？[星星眼]
军舰奉行并,男,广东,急急急
孤傲的游荡之魂,男,陕西,50包邮解君愁[吃瓜]
Sternyo,男,广西,oled屏？没有圆偏振光，没有类dc调光，玩久了不得散光瞎眼？游戏重要还是眼睛重要？
阿岚,保密,广东,[笑哭]一算我ns一代机都买了6年了，而且基本年年都在断断续续玩宝可梦，应该算是物有所值了，等国内能原价买到2就换新机[星星眼]
丹尼kl,保密,河北,ns2都来了，丝之歌还没消息[喜极而泣][笑哭][大哭]
监视黑暗,保密,山西,急急急，我是吉吉国王
icelemonisyummy,男,江苏,观望一下价格
其实我不爱学习,保密,四川,switch2要出了，正是买switch的好时候[doge]
中国品客,保密,广东,等一年后的破解
Nothing_1989,男,美国,一般
说好的陪我过年,保密,江苏,能做到掌机1080p60帧吗
Mayogee,保密,贵州,1080P或者720P主流作品  掌机稳定60帧，那就是一台好机器[藏狐]，但是我觉得我的期望还是高了
顾情笙,保密,江苏,请问一下卡带兼容，那游戏商城之前买的也可以在这个上面玩
抛砖de风中少年,男,江西,大的终于来了
红油炸薯条,保密,湖南,这波是真的等等党大胜利了
居无定所的芸,男,泰国,终于来了
我真的是五月,保密,中国香港,准备去预定了
滕和,保密,四川,感觉没啥护航大作[笑哭]
离基三出脉,保密,四川,见证历史了
明黯生花,男,泰国,突然想起了磁吸的话，健身环咋办？买个磁吸的健身环？？
明鱼son,保密,浙江,没啥创新
空空空心糖,保密,江苏,手柄拟合看着悬啊 用久了会不会脱落[热]
Crimle,保密,河南,期待一下护航大作，动森2快来
Reicr,保密,澳大利亚,也就是说1代switch上的游戏都可以在2代玩。2代一部分游戏会是2代only。好耶😆！
Ezvvw,保密,广东,不如相信血源出卡丁车
ksnlksn,男,浙江,训练我的肱二头肌
紳士の太籽,男,山东,说手柄当鼠标用是啥意思啊，有点好奇咋搞的
花鸟虫鱼OwO,保密,湖北,[雪未来_喝奶茶]
你敢惹我沙福林,保密,江苏,他不会学ps5那样 把ns1的游戏优化下再卖ns2版本的吧 老版本卡带放在2里还是30帧那真炸了[笑哭]
滋溜滋溜-,保密,浙江,这接口随便碰碰都得断
全被注册了啊,保密,湖南,才买了ns6年就等到了ns2，我太幸运了
灵之冲,男,河南,等oled版[doge_金箍]
紳士の太籽,男,山东,我觉得没那么丑啊，除了黑框都还不错
-冷风吹来,保密,山东,祖传黑边
不去Ravenholm,保密,江西,这手柄接口是认真的吗[辣眼睛][辣眼睛]
Reicr,保密,澳大利亚,真鼠标啊
别拿我当猪头,男,河北,@33与77
布朗hy,保密,重庆,感觉有点点丑[笑哭]
为了麻衣学姐哟,保密,新疆,主机兼容是什么意思
空空空心糖,保密,江苏,来了吗 首发多少美元[脱单doge]
海綿寶寶林克,保密,福建,好奇任天堂干嘛不学索尼开个后门，类似国行ps可以留学，这样国行机器也可以赚钱
蓝闺蜜丶,保密,山东,看完好像啥也没看
奥托讲堂,男,河南,希望新机的卡带可以向下兼容，一代已经够用了[来古-沉思]
大奇Inuki,男,上海,赶快出，我好收二手上一代[大哭]
ParadoxOswald,保密,江苏,"前面的大大大大大大环节绷住了
放在支架里面上面露出来一大截实在是绷不住了[笑哭]"
夜落归天,男,海南,居然还有这么大的黑边
雪菜_official,保密,安徽,如果掌机模式可以支持1080p的话就入首发了，贵点就贵点，如果掌机只有720的话我就再等两年价格趋于正常
枝江不相信眼泪,保密,安徽,新游戏能在1上玩不
一只听音乐的八重樱,保密,辽宁,看得出来主机最核心的东西是啥都没意识到就开始百般指责的人不在少数
zxc9668,男,陕西,古川切腹吧，1月公布，4月才开直面会，发售都多久去了，要不要这么拖
Hashida_ltaru,男,北京,@皮阿奴片樱
两只诺团子,男,山东,手里这台 oled 版本还能继续坚挺
爱莉克丝,保密,北京,此前爆料的基本全都应验了，舅舅党太牛逼了
买买提的春天呀,保密,青海,黑边就没法再窄一点吗[笑哭][笑哭]
胜天半碗鱼香肉丝,保密,四川,原神永远有希望上ns了吗
天际的暴雨,保密,安徽,我比较在意老游戏的次世代升级……还挺有吸引力的
小小小菜鸟琴,保密,山西,留言留言～
CODE039,女,俄罗斯,好像没法装TF卡了
握次悠内姆,保密,山西,竟然和爆料的logo一样，我那会还以为是假的好像假的
俏君子的stats,保密,广东,我怎么感觉这代还是30，希望我猜错
汉堡派大星,保密,河北,手柄当鼠标的时候，明显插了底座，有新配件吗？
小QZSL,保密,广东,这次真的想买一台[嘟嘟]
future-freee,男,广东,@次元spa丶
苹果园的一颗苹果,女,辽宁,这个手柄的连接方式
D阿福,保密,湖北,想了解下，ns2掌机模式的机能相对于sd，哪个更强
带带刘人A,男,河北,NS上次打开还是智慧的见识
二乃不可战胜NakanoNino,保密,山东,就一个问题，2对旷野之息和王国之泪画质有提升吗[doge_金箍]
-天选之人_,男,湖北,这黑边一点没窄[笑哭]
兹奈白大爱我,保密,美国,我上个星期刚买的Switch OLED 🥺
最后的烛师,男,陕西,我发现一件事，我switch买的都是数字版，难道还要再买一遍游戏吗[笑哭]
bili_472726072,保密,广东,估计首发4000少不了
暔腩湳煵,男,浙江,意思“MIG”卡要卖爆了？
幻影學派,保密,北京,能玩光环嘛
斯特臻,男,吉林,只想问变轻了吗？
雕欄玉砌應猶在,保密,中国香港,好消息，没有线性扳机
账号已注销_Armor,保密,广东,我要把见证历史屏蔽了
From鳛,男,贵州,@蓝色西篮花 更新啦
一到周一就下雨,男,湖南,正好今年准备四五月去日本玩，好起来了[脱单doge]
扎克斯不扎心,男,浙江,出点别的颜色啊
im唐僧,男,宁夏,Joy-con 手柄可以在 2 带代上用吗？
冰凝萌不萌,保密,江苏,玩的刺激了两手一开，屏掉了。。。
一位沙雕雕刻,男,安徽,见证历史
孤独我不太懂,保密,天津,专用软件，是不是说以后NS2出的游戏没法在NS上游玩了[哦呼]
bili_89857415676,保密,浙江,家里吃灰多年的老东西终于出下一代了[大哭]
cwxb84,男,广西,这就是win掌机啊！
啊拉莎,保密,山东,大的终于来了
CyanideC,女,江苏,虽然大了，但是这边框有点逆天了[Mygo表情包_不会吧？]
褒姒喽,女,韩国,@缘痴白 买这个
帅是一辈子的事儿,男,广东,2025有太多值得期待的事情了
区卷大魔王,保密,上海,这我咋总想起wii和wiiu的关系呢...
逆雨,保密,天津,感觉不少地方很容易坏啊，等看看实机啥样子
呈人,保密,浙江,机子就属于能玩，看有啥游戏吧
喝芬达的北极熊,保密,江苏,cpu和gpu都曝光了，gpu是nvida20系显卡水平，屏幕是lcd还是oled呢？
TC_之梦,男,湖南,真来了说是
CR-金凤凰5008号,男,浙江,终于等到你！第二代的NS！
yukicard,男,江苏,只有一笔钱。想玩异度之刃x，我有switch1但是性能垃圾。组pc先玩其他的还是直接买这个？
小树不吃鱼,男,湖南,大黑边受不了，就看首发够不够吸引人了，反正现在电子阳痿，等到2oled出来也行
修仙党不会醋死,保密,天津,比较好奇今年会有什么大作护航[doge]宝可梦那个什么z的该出了吧
电音播客,保密,河南,我仿佛看到了我逝去的青春。。。
阿翔哥哥真帅,男,辽宁,等会，游戏不会出画质增强版吧，升级个分辨率，改一下贴图，就要我100和CS索尼一样，卡带还用原来的
感谢不感谢感谢,保密,广东,买肯定会买，就看首发难不难抢了
抿抿不饿,男,山东,熊。。。熊掌机？？？[藏狐]
奶德发,保密,湖南,怎么说呢，黑边看个人习惯喜好，我个人比较喜欢，可以提高专注度。手机上下黑边对称的坏了，现在新款手机只有全面屏，真的不习惯[笑哭]
cocskibsg,保密,浙江,4000以内犹豫一秒算我输
要多饮水嘅男仔嚟,男,广东,[打call][打call][打call]
kl森林,保密,广东,3月20日发售的异度之刃x刚好避开了发布会
略磨么么扎,保密,广东,黑色有点丑，有白色就好了
neko-a-,男,上海,见证
喵桑-CAT,保密,广西,不理解为什么非得把金手指那部分做突出来，明明可以和平板键盘那样，难道是为了更方便玩家掰弯？[饿殍表情包2_小哑巴][饿殍表情包2_小哑巴][饿殍表情包2_小哑巴]
二刺螈滚出地球,男,辽宁,这个名太2了，嘲讽谁买谁是2
修仙党不会醋死,保密,天津,就绷不住 为啥黑边还是这么大[呆]
蕊不会,女,山西,希望lcd
希柏莉雅,男,上海,这回用颜色标注了 我看谁还左右差反 大力奇迹
吃小蛋糕去吧,男,浙江,顶多pro，不算2，整体不大改的话，估计整不出新的花活，小修小补，提升点性能。
o-0如果0-o,男,广西,既然接口改了，那么老健身环只能在1代用了？还是说会出2代健身环？[藏狐]
cwx1991,保密,四川,只能算半代机吧，类似ps5，和ps5pro，只是不会同时存在而已。提升了性能，有ns的，只需要买个主机单板，pro手柄都是通用的
戴上猫耳扮熊猫的lib,保密,天津,主机上的手柄插口那块感觉不如现在的，多插歪几次就容易寄啊
小哥不懂,保密,江苏,上面的C口可能是开启性能模式的，掌机模式为了续航会降频，但是有外部供电就能放开了[吃瓜]
你敢惹我沙福林,保密,江苏,性能就别多期待了 我猜可能就比xss强一点
未至水穷处,男,浙江,不知道这次续航问题与机器性能是两者兼得还是互相做了妥协呢？
Valck,男,福建,盲猜一手塞尔达传说高清重置版[doge]
森气神乱,男,北京,我靠马车新作！狠狠期待了[星星眼]
ultraDS,保密,内蒙古,着啥急等铺开货再说。。不给黄牛任何机会
是Christine的好大儿,保密,河北,见证历史。
开箱万物,保密,河北,我超，太爽了
米斯塔梦飞,保密,安徽,薄纱ps5pro
奇点天空,保密,福建,黑不黑边不重要，屏幕更大了不是
沉醉不知家何处,男,黑龙江,我不奢求太多，能有22年的中端平板的性能我就满意了。
wlwlwlww,男,安徽,@梦见黑鸟
千医羽,保密,广西,性能一个字不提，估计和865水平就不错了。
黑色圆桌型被炉,男,广东,这黑边，两眼一黑[笑哭]
二刺螈滚出地球,男,辽宁,不可能买的，一代首发从日本人肉带回来的  没玩过多少游戏  任天堂真的不适合我玩不下去，留着等我女儿长大了给她玩吧，二代应该不会买了
一谈抹笑,男,广东,不懂就问宝可梦za会是2代机独占吗？
火锅涮大葱,保密,山东,等OLED再买吧，大黑边应该会改善很多[笑哭]
1006哔哩哔哩,保密,中国香港,以前水滴现在啪啪的一声
p站人均家庭美满,保密,四川,主机左右的插头，以及手柄的接口，看样子和之前爆出来的专利一样，手柄可以给主机充电，至于这个耐用性吗？就。。。。。。。。。。
月下寒光一抹红丿,男,江西,几个钱啊
心好official,保密,江苏,卧槽
泄泄泄泄泄泄泄,男,四川,这手柄内侧也有按键?
勇气的徽章,保密,广东,不愧是以保守和低效率闻名的立本人，都2052年了，才出第二代[辣眼睛]
爱在深秋套在盛夏,保密,山东,1
海棉宝宝章鱼哥,男,山东,见证历史在哪呢？
艾纪安,保密,浙江,复古
丨凉皮儿丨,保密,湖南,2会有lite版吗[藏狐]
慢小羊羊,保密,江西,这预告片怎么像临时赶工做出来的
地球上的星星,保密,广东,见证历史
你敢惹我沙福林,保密,江苏,我之前就猜ns这个外形设计还是很顶的还能继续打还真猜中了
逊迪噢,保密,山东,怎么还加大啊，感觉会很沉，不是掌机吗[笑哭]
poldi刮胡刀,女,四川,甚至时间都是3个2…[笑哭]
我喜欢奶粉,男,日本,怎么感觉有一点重啊[doge_金箍]
LemonChay,保密,湖南,买
村口的阿呆,男,湖北,要的是游戏，当然性能越强越好，没得游戏没啥买的欲望
晚间罗兰,保密,福建,不是，真来啊？
light-star星空,男,广东,开场动画不得变成两个joy-con碰一起[doge]
我是大贱狗,保密,山东,老古董终于更新了  对于我这种打工人来说  是没有时间享受了
二刺螈滚出地球,男,辽宁,就这还有人吹呢？
AslanBAHUBALIHKW,保密,安徽,今年去看世博会的时候买一个[星星眼]
小矜持QAQ,男,陕西,也就是ns1代 pro罢了  什么2代
V逆旅V,保密,广东,有1080p吗？任天堂不会又去拼多多买他祖传720p的屏幕吧[怪怪小黄豆_没睡好]
呵呵哈哈啦啦2,保密,江苏,我有个疑问，switch的游戏为什么不上手机？不上steam就算了，手机性能这么强大，你有那么多优秀的小游戏，不用上巨作，就一二十块钱的那种，移植上手机，任天堂分分钟不变成买断制优秀手游行业领导者吗
国产小嫂嫂,女,山东,灰灰的？那等限定版吧[笑哭]
14560289,男,山东,果然被扒的就剩裤衩子了[笑哭]
三生俯首拜阳明,男,浙江,@白色习俗 @老咸鱼突刺 @原来是说倏人家呀 任天堂的消息就是不灵通，我早两个礼拜就知道了
保梓磊,男,山西,典，这也太典了，经典东西还没出来，尝尝味儿，一堆人就说不好吃[喜极而泣]
急冻熊,保密,广东,感觉logo好丑[笑]
时雨今天睡大觉,保密,四川,"lcd显示效果肯定不如oled
不过我就先冲了"
爱玩游戏的菜鸡布洛芬,男,黑龙江,见证历史
南极有个迦勒底,保密,浙江,希望是LCD屏幕，不知道续航水平
不能承受的生命之輕,男,安徽,到底什么时候正式发布啊
Lector12,保密,德国,感觉一代还能再战三年，等下一代塞尔达和Oled版再换
__嘤嘤嘤嘤嘤嘤嘤,保密,吉林,现在这个配色不太喜欢，要不要直接蹲一下以后的限定机？[思考]
是齐鸽丸吗,男,广东,说了又感觉啥也没说
胡言乱语我无法理解,保密,湖北,不知道会被炒到多少钱，记得ps5在淘宝一度被炒到8000多[doge]
雪源淘,保密,山东,外观只能算小改
--梼杌--,男,内蒙古,我的switch是23年买的，短期内换不了设备，有点可惜
秃头假发花弟,男,江苏,先是switch  plus，然后再出一款switch plus续航版，再是switch plus 续航OLED 版
撒点金坷垃,保密,浙江,什么年代了还几千块买电子lj[鼓掌]
能买必将买买,保密,安徽,@爱喝牛奶奶ya @南明离火北水玄元
张开閪望,男,广东,@大气层
阳不走空,男,山东,母鸡啊，对我来说一个宝可梦启动器要更新了[喜极而泣]，不过看着更，EMM，一体化了，更圆滑了
硫离子还是琉璃子,保密,陕西,有什么新游戏快端上来吧！
夕阳下的战士一归曼,保密,安徽,还是看第一方发力吧，塞尔达传说60帧高清版emmm……继续买！[星星眼]
azazaz-official,男,广东,@耏恪ke-official
水蒼,保密,福建,英伟达的低端产品有不少混用架构的先例，比如GTX750/Ti，用的是9系的Maxwell架构；RTX2050，用的是30系的Ampere架构；以及经典的GT710，你能找到Fermi/Kapler两代架构的4种不同核心；架构混用最频繁的就是移动端8系卡，同一种产品会混用Maxwell/Kapler的不同核心
洺碌,男,广西,"一代就已经蛮沉了的，二代还变大了一圈
你是掌机吗？
我觉得我是！"
Jink0525,男,江苏,什么什么，真来了！！！！！！！
Lohengram_,保密,内蒙古,前年买oled的我是不是冤种啊……
逊迪噢,保密,山东,期待发布会吧还是
yieeiyee,保密,浙江,2出了1会降价吗[微笑]
鲨鲨突然想到,女,陕西,我！要！玩！动！森！新！作！
见不着的人,男,山东,主要还是要看看首发有什么游戏打头阵
jo极老猎人,保密,云南,还真就叫switch2了
虾可以在一个锅里生活,保密,广西,把 1 代机子 oled 版卖掉大概能卖多少钱现在🤔
lsirkde,保密,河南,视频有60帧选项，难道[蹲蹲][蹲蹲]。
クゥすみ,保密,湖北,[doge]该攒钱咯
时年丨,男,广东,怎么还是有大黑边
Fizz9z,保密,山东,@一个列文虎克
热爱生活的益达菌,保密,广东,能保证新作60帧就行
心中有佛怕佢碌柒,保密,广东,如果大作还是30帧那就算了
小然菌萌萌哒,男,广东,我0.5倍速数了屏幕里的角色，最多有18个，看的清晰的有马力欧，陆毅，桃花公主，奇诺比奥，瓦力欧，慢慢龟，酷霸，DK，罗莎塔，菊花公主，宝琳，嘿虎
柚子茶茶丶,保密,福建,那是马车9吗
ADiligentBee,保密,山东,能不能支持gta6 阿[抠鼻][抠鼻][抠鼻]
bili_24306716643,保密,江苏,老任品控懂得都懂，换过三个joycon，个个有瑕疵，而且瑕疵各不相同
堂糖糖糖,男,黑龙江,这黑边？
任屯索勾软驱,男,河北,二代出了会不会把一代的价格拉下来？想入一个oled
骻下之马名化腾,男,江苏,这次这么拉了吗？就升级性能？
荷兰拿铁,保密,吉林,还是黑边停航母
Catuchen,男,广西,先观望观望有没有什么护航大作，比如塞尔达异度之刃[doge_金箍]
なぎささま,男,广东,不要觉得nsOLED就很小了，这掌机还能拿在手上玩嘛[笑哭]主机模式做好点吧我奢求个60帧总可以吧
菌子桃,女,湖南,我才买朱紫限定机[热]
二两馄饨不要葱,男,德国,求求了，老任你不愿意跪我去给你跪，求老黄给个DLSS，后续60帧不是梦
掎角之势vsh,男,四川,如果习惯了滑轨，这种设计是生怕玩家掰不坏是吧
市井小羿,男,山东,看人家这宣传片做的，真牛逼
银河少年,保密,四川,加大加粗[辣眼睛]
RearviewMirror,男,浙江,因为我买了健身环，换了switch2健身环就玩不了了，所以我不买[doge][doge_金箍][歪嘴]
名字都被取了还能取啥,保密,上海,我的预感 switch2的破解应该在底座上入手
你敢惹我沙福林,保密,江苏,更大了 等2的lite版了
好睏啊對,男,广东,底座没有改变吗？
玲秋枫Wryyyyyyyy,男,江苏,我switch才买了三个月[藏狐]
蚀光_拾光_时光,男,云南,额，不是哥们，就这吗？性能啥的说一下啊
孙吧驻童厕办,保密,广东,希望首发别炒得太高
楚華,保密,广东,大家我想知道  有三台oled了 这个有必要买吗[笑哭]
可曾记嘚爱,保密,广东,今天1500吧喷射3版的卖特
什么时候再相见,男,江西,[Mygo表情包_让我看看]
灯盏河山,男,重庆,见证历史
DrizzleBRS,保密,新疆,花钱买首发然后像1一样吃灰
某县县长,男,湖北,我等lite
貂蝉皮炎滂臭,保密,福建,哥们为了在Switch2上玩旷野之息憋了7年没买Switch[笑哭]
幻影七星,保密,广东,这手柄很爆雷。。。金手指很远损坏
ebhar,保密,浙江,手柄当鼠标？这功能不会要适配护航作吧？看来今年又要神仙打架了、[doge]
抽卡保底能不能去似,保密,福建,受够了2025年还在540p25帧了，只要不溢价的太多，我还是愿意入手的，已经开始期待ns2的护航游戏了，宝可梦ZA该端上来让大家品鉴品鉴了吧[星星眼][星星眼]
尊灯防猫鼓,保密,河北,大黑边难绷，很难想象这是2025年的产品
澄空Hareta,男,湖北,@丶尼古丁真丶
艾莉和,保密,江西,看视频这新机器真是无聊的一塌糊涂，希望老任有隐藏大招
好睏啊對,男,广东,变化不大啊。
我坐假小子那一桌,男,四川,为毛不直接出OLED，1代可以说是背水一战投石问路，2代还这么玩？不怕首发销量褒姒啊
AgentDown,保密,广东,已经高超了[大哭][大哭][大哭][大哭]
IKF4同人字幕社区,男,广东,国行烈士看到后光速出售国行了
项之云,保密,浙江,之前透露的时候，谁说不可能是磁吸的
你敢惹我沙福林,保密,江苏,switch oled pro版
十二Mature,男,广东,已经兼容游戏卡带，会兼容游戏账号吗？我买了挺多数字版游戏的
Davegg,男,江苏,120fps2k就入手
赞美阿哈,保密,河北,没国区？？？
huooan,保密,浙江,我17年买的Switch 但那时候头两三年也就那么几个比较好玩的游戏 所以导致我还是后面这几年玩的更多 这回我不会急着买了[笑哭]
萨塔里奥,保密,广西,大了一圈
姥爷少爷,男,山东,评论区有没有扣1送switch2的活动
御寺宫之,男,北京,预计多少钱？
塞涅里欧,女,新疆,火纹加油，我真的不想看像素点了，说起来什么时候ns2上才能有新火纹[尴尬]
带师我污了,保密,陕西,期待
聪明的傻狍子鸭,男,山东,性能怎么讲，总不能还是720p30帧了吧
让蛋蛋15分,保密,上海,能不能1080p60贞？上一代芯片不行我认了。毕竟现在win掌机不接egpu都能做到这份上
沉下心来学会勇气,男,山西,这个有国补吗[doge]
是岛不是风,保密,浙江,有点丑，期待其他颜色
赫拉克勒斯-,保密,广东,日本还有那个厂做LCD 夏普和jdi都不做LCD了 这块LCD哪来的
志摩凛凛,男,山东,@以上上
4K修复计划,保密,浙江,省流：没有屏幕参数
俅俅-,保密,内蒙古,没感觉，被贴吧漏完了
橘孑粥,保密,江苏,啊
冰炎MANA,保密,上海,泄露给人的疲惫感超过预期。现在又没有游戏阵容公布。就一马车9板上钉钉。心中毫无波澜
MachineSpirit,男,青海,ps5刚发售的时候我看好多博主都是8000+买的，只能说先得观望一下[冷]
吃混酱猪肠粉,男,广东,能以旧换新吗[doge]
onlyBomi,保密,广西,已经开始期待switch3了[OK]
舞板琴歌,男,上海,发布会是什么时候
我系皮卡丘,男,广东,新joy-con是不是能像鼠标那样用
超辣火鸡面,保密,江苏,变大了，手持舒服吗？
74558563447_bili,保密,山西,终于可以玩原神了
霞照水,保密,四川,啊?
抹茶柚餅子,女,湖南,感觉任天堂没憋出来什么革命性创意，就干脆延续ns1的设计了，加强性能再加上一些小创新（当鼠标用），也是一种比较稳妥的方法，就是比较无聊罢了
加糖的厚蛋烧,男,江苏,还是抱有期待的，希望任天堂能整出一些想1一样让我眼前一新的东西，但是感觉估计这几年应该都不太可能正常价买到了
第九交响曲呢,男,湖南,"logo与名称都觉得没品味，比索尼都不如（个人觉得索尼品味也不行了），还有没看到tf卡的支持（不清楚到底有没有），还有手柄当鼠标来用就就怕手柄磨损影响手柄的成色，爱惜人士觉得裸奔玩不放心。
个人观点，不喜勿喷，谢谢！"
HimuraKenshin,保密,江苏,就这
白猪ABA,男,上海,真就这个logo吗？放个“2”在上面？
这个世界需要眼镜,保密,河南,？大的真来了[BanGDream_多惠-震惊]
专吃你家大米,男,黑龙江,什么分辨率啊？
妮玛扎拉,男,广东,[滑稽]多久能被破解
tukana,保密,广东,已准备好5000rmb预算入首发
LOTO骆驼,保密,广西,那么首发作是什么呢
bili_10923636111,保密,广东,马车 9[呲牙][呲牙][呲牙]
白芷柔柔小雨潇潇,男,河南,公布以后会不会对ns一代价格有什么影响，感觉二代想正常价入手还得挺久，在考虑要不要抄底个一代先玩着
沙雕的狗头哦哦,保密,上海,见证历史
白色彗星233,男,上海,更期待2lite，那个才是正宗掌机
NKNKdomfree,男,湖南,感觉不太行，看看配置怎样
刚刚在看手机,男,福建,见证历史
广工马嘉祺,保密,广东,666
随手一打丶,保密,天津,能1080p 60帧王泪就行
Tiger_OwO,男,江苏,所以黄昏公主重制版什么时候出啊
泠灵绫枫封峰_ZeroWind,男,广东,赶紧端上来吧、
猪猪的梅森,保密,广东,不说了，我要新款的塞尔达游戏！交出来！
曹森马力欧,男,河北,摇杆要还那么飘移狗都不买[doge]
Anon-头顶怎么尖尖的,男,湖南,那CPU感觉大概率就是t239了，根此前爆料一样，主机模式介于ps4和ps4pro之间？掌机模式应该接近ps4水准吧。
海綿寶寶林克,保密,福建,买
狂三的士道,保密,福建,ns2的卡带可以在ns1上用吗？
Parons,保密,福建,合影✌🏻
冰冷的琴,男,河南,塞尔达正代要几年后出？ 别的都是玩不了多久就不想玩了
SCYLAZ,保密,四川,这tm还是掌机吗，我觉得1代就大的有点不舒服了。。。他还在变大，这和手上拽个平板有啥区别，不方便随身携带就失去掌机的意义了，掌机应该是随时随地想玩的时候就能掏出来完才对啊
赛博兔预言,女,江西,任天堂会和pc游戏平台接轨吗？那么win掌机就要接受毁灭打击了[胆大党_微笑]
SRV_Tneki,男,河南,见证九年的换代
OMAN-MASQAT,保密,广东,提前考古[来古-注意]
CongratsCat,男,山东,@我也不了解人类 我了个豆
爱玩游戏的暗影豌豆,男,山东,任天堂，求你了，价格别超过6万日元😭
吉尔伽美什ュ,男,辽宁,估计会入手lite版，主机模式我就没用过几次[笑哭]
方块Pufferfish,男,河北,也就是说健身环大冒险这个游戏想要在switch 2上玩，要重新购买一个新的环了。[哦呼]
鼠鼠又删评论了,保密,黑龙江,也就是说ns和ns2的卡带完全一样呗？
Nokia5320,男,广东,时之笛重制版有机会吗
为余繁荣的罗马喝彩,男,江苏,这个连接好脆弱的样子啊。。。
爱留U966,保密,河南,见证历史！！！
钥星蟲,保密,广东,上次给我带来这种感觉，的是一家以前叫“苹果”的公司
蚂蟥爱开吸,保密,湖南,玩不了1080p60帧的王泪就别发售了
bolldy,保密,广东,再探再报
大魔法师雨嘉,保密,黑龙江,加了大黑边才让你知道玩的是switch
暖神そら,男,广东,"屏幕点亮前：这个好啊
点亮后：卧槽这么宽的黑边"
爱玩游戏的暗影豌豆,男,山东,太好了
将心付瑶琴哒哒哒,女,江西,啊？
无语的山里人,保密,河南,real ns pro
一条疯狂的毛巾,保密,广东,不会是GB到GBC这种的程度换代吧
凌柏秋翎,保密,广东,大黑边留着后面升级是吧😄💧
我是咕咕鸪啊,男,陕西,之前爆料的dlss和光追会上吗[哦呼]
迷失の银,保密,河南,wc
查克诺里斯的剃须刀,男,河北,有没有省流告诉我和一代oled有啥区别
老大爷勇闯寡妇村,保密,江苏,载入史册
梦梦君丿,男,辽宁,看起来不小啊
来个人跟我对线,保密,江西,这个改成磁吸感觉容易掰坏[微笑]
南方猎奇佬,男,浙江,手柄改成插拔的了，感觉以老任的品控，很有可能更容易坏[笑哭]
Drifting_alone,男,河南,这大黑边，算了算了
Lellais,保密,江苏,睡觉前刷到了什么 [腾讯招聘_惊呆]
被嫌弃的佳肥帽,男,河南,怎么一眼有种steamdeck的错觉感[喜极而泣]
十一维跃迁,保密,广东,啊啊啊啊
空我丶B1玫瑰,男,陕西,明年能进百亿补贴吗[蹲蹲]
liswer,男,福建,家里电视机顶盒坏了搜不到频道了，这个是不是合适？
我是虫棍糕手,保密,重庆,王泪主机模式能不能60？只求这个，卡比主机模式60帧后玩王泪感觉卡到不行
aBRIBEz,男,浙江,你就不能一步到位上oled吗，当然我这话不严谨，因为还不确定屏幕是啥[笑哭]
咕嘟の孜然,男,上海,黑色手柄好丑，能不能改成1的红蓝手柄
一顿晚上饭,男,山东,你变成插槽，以后怎么入水啊！
林克消遣时间,保密,山东,yysy这个logo真不行吧[BanGDream_有咲-汗]就嗯加个“2”上去呗[BanGDream_巴-尴尬]还有为什么手柄要改成插拔啊我透看着寿命就不能很长的样子[BanGDream_筑紫-不满]
布丁和煤球,男,江苏,看不到任何亮点
猫幼的-怠け者,保密,山东,@贪玩歌姬小宁子
戴口罩的滑稽,保密,广西,吃着火锅唱着歌，突然就被任天堂给……
Example2023,男,河南,卧槽，全体起立[大哭][大哭][大哭][大哭]（我才买的switch啊啊啊啊啊啊啊啊啊啊）
puDDingシ,男,江西,我没细看，有人知道充电口改位置了没有嘛
你说对对对对,保密,福建,还是祖传大黑边[大笑]
榆树下的月,保密,辽宁,丑
Taliq,保密,广东,仔细看了一下，应该是有卡扣的
云笈书灵篆,男,山东,卧槽
小泽ngm,男,河北,见证历史
曲奇小兮,男,安徽,@小兮曲奇
_大哥惯过谁_,保密,安徽,看着怎么这么像国产山寨机[藏狐]
今晚山楂猹吃什么,保密,山东,纯路人，看起来大了一点小小小小小的圈然后再让手柄看起来更容易坏，还有什么吗（）
whybuywho,男,云南,除了知道4月2日开直面会，其它啥也没有。这宣传片跟没发没区别
oume_,保密,陕西,这个磁吸口，感觉好容易断啊
虚空之豪,男,甘肃,省流：啪啪啪
红温仙翁,男,北京,再贵也不可能比win掌机贵
栞のテーマ,保密,湖南,国行有吗，我不买
老大爷勇闯寡妇村,保密,江苏,nb
执森,保密,湖北,多久买比较合适啊
manyroads,保密,江苏,不会还是720p吧
不一样的艾迪Edison,保密,广东,这大黑边又回来了，而且我不喜欢这种镂空的后背支架，没有之前牢固！
低俗小说S,保密,四川,没仔细看，有董哥说说性能吗
