用户名,性别,评论内容,IP属地
项之云,unknown,之前透露的时候，谁说不可能是磁吸的,中国-浙江
你敢惹我沙福林,unknown,switch oled pro版,中国-江苏
十二Mature,male,已经兼容游戏卡带，会兼容游戏账号吗？我买了挺多数字版游戏的,中国-广东
赞美阿哈,unknown,没国区？？？,中国-河北
huooan,unknown,我17年买的Switch 但那时候头两三年也就那么几个比较好玩的游戏 所以导致我还是后面这几年玩的更多 这回我不会急着买了[笑哭],中国-浙江
萨塔里奥,unknown,大了一圈,中国-广西
御寺宫之,male,预计多少钱？,中国-北京
塞涅里欧,female,火纹加油，我真的不想看像素点了，说起来什么时候ns2上才能有新火纹[尴尬],中国-新疆
聪明的傻狍子鸭,male,性能怎么讲，总不能还是720p30帧了吧,中国-山东
让蛋蛋15分,unknown,能不能1080p60贞？上一代芯片不行我认了。毕竟现在win掌机不接egpu都能做到这份上,中国-上海
沉下心来学会勇气,male,这个有国补吗[doge],中国-山西
是岛不是风,unknown,有点丑，期待其他颜色,中国-浙江
赫拉克勒斯-,unknown,日本还有那个厂做LCD 夏普和jdi都不做LCD了 这块LCD哪来的,中国-广东
志摩凛凛,male,@以上上,中国-山东
4K修复计划,unknown,省流：没有屏幕参数,中国-浙江
俅俅-,unknown,没感觉，被贴吧漏完了,中国-内蒙古
冰炎MANA,unknown,泄露给人的疲惫感超过预期。现在又没有游戏阵容公布。就一马车9板上钉钉。心中毫无波澜,中国-上海
MachineSpirit,male,ps5刚发售的时候我看好多博主都是8000+买的，只能说先得观望一下[冷],中国-青海
吃混酱猪肠粉,male,能以旧换新吗[doge],中国-广东
onlyBomi,unknown,已经开始期待switch3了[OK],中国-广西
舞板琴歌,male,发布会是什么时候,中国-上海
我系皮卡丘,male,新joy-con是不是能像鼠标那样用,中国-广东
超辣火鸡面,unknown,变大了，手持舒服吗？,中国-江苏
74558563447_bili,unknown,终于可以玩原神了,中国-山西
抹茶柚餅子,female,感觉任天堂没憋出来什么革命性创意，就干脆延续ns1的设计了，加强性能再加上一些小创新（当鼠标用），也是一种比较稳妥的方法，就是比较无聊罢了,中国-湖南
加糖的厚蛋烧,male,还是抱有期待的，希望任天堂能整出一些想1一样让我眼前一新的东西，但是感觉估计这几年应该都不太可能正常价买到了,中国-江苏
第九交响曲呢,male,logo与名称都觉得没品味，比索尼都不如（个人觉得索尼品味也不行了），还有没看到tf卡的支持（不清楚到底有没有），还有手柄当鼠标来用就就怕手柄磨损影响手柄的成色，爱惜人士觉得裸奔玩不放心。 个人观点，不喜勿喷，谢谢！,中国-湖南
白猪ABA,male,真就这个logo吗？放个“2”在上面？,中国-上海
这个世界需要眼镜,unknown,？大的真来了[BanGDream_多惠-震惊],中国-河南
专吃你家大米,male,什么分辨率啊？,中国-黑龙江
妮玛扎拉,male,[滑稽]多久能被破解,中国-广东
tukana,unknown,已准备好5000rmb预算入首发,中国-广东
LOTO骆驼,unknown,那么首发作是什么呢,中国-广西
bili_10923636111,unknown,马车 9[呲牙][呲牙][呲牙],中国-广东
白芷柔柔小雨潇潇,male,公布以后会不会对ns一代价格有什么影响，感觉二代想正常价入手还得挺久，在考虑要不要抄底个一代先玩着,中国-河南
沙雕的狗头哦哦,unknown,见证历史,中国-上海
白色彗星233,male,更期待2lite，那个才是正宗掌机,中国-上海
NKNKdomfree,male,感觉不太行，看看配置怎样,中国-湖南
刚刚在看手机,male,见证历史,中国-福建
Tiger_OwO,male,所以黄昏公主重制版什么时候出啊,中国-江苏
泠灵绫枫封峰_ZeroWind,male,赶紧端上来吧、,中国-广东
猪猪的梅森,unknown,不说了，我要新款的塞尔达游戏！交出来！,中国-广东
曹森马力欧,male,摇杆要还那么飘移狗都不买[doge],中国-河北
Anon-头顶怎么尖尖的,male,那CPU感觉大概率就是t239了，根此前爆料一样，主机模式介于ps4和ps4pro之间？掌机模式应该接近ps4水准吧。,中国-湖南
狂三的士道,unknown,ns2的卡带可以在ns1上用吗？,中国-福建
Parons,unknown,合影✌🏻,中国-福建
冰冷的琴,male,塞尔达正代要几年后出？ 别的都是玩不了多久就不想玩了,中国-河南
SCYLAZ,unknown,这tm还是掌机吗，我觉得1代就大的有点不舒服了。。。他还在变大，这和手上拽个平板有啥区别，不方便随身携带就失去掌机的意义了，掌机应该是随时随地想玩的时候就能掏出来完才对啊,中国-四川
赛博兔预言,female,任天堂会和pc游戏平台接轨吗？那么win掌机就要接受毁灭打击了[胆大党_微笑],中国-江西
SRV_Tneki,male,见证九年的换代,中国-河南
OMAN-MASQAT,unknown,提前考古[来古-注意],中国-广东
CongratsCat,male,@我也不了解人类 我了个豆,中国-山东
爱玩游戏的暗影豌豆,male,任天堂，求你了，价格别超过6万日元😭,中国-山东
吉尔伽美什ュ,male,估计会入手lite版，主机模式我就没用过几次[笑哭],中国-辽宁
方块Pufferfish,male,也就是说健身环大冒险这个游戏想要在switch 2上玩，要重新购买一个新的环了。[哦呼],中国-河北
鼠鼠又删评论了,unknown,也就是说ns和ns2的卡带完全一样呗？,中国-黑龙江
Nokia5320,male,时之笛重制版有机会吗,中国-广东
为余繁荣的罗马喝彩,male,这个连接好脆弱的样子啊。。。,中国-江苏
爱留U966,unknown,见证历史！！！,中国-河南
钥星蟲,unknown,上次给我带来这种感觉，的是一家以前叫“苹果”的公司,中国-广东
bolldy,unknown,再探再报,中国-广东
大魔法师雨嘉,unknown,加了大黑边才让你知道玩的是switch,中国-黑龙江
暖神そら,male,屏幕点亮前：这个好啊 点亮后：卧槽这么宽的黑边,中国-广东
爱玩游戏的暗影豌豆,male,太好了,中国-山东
无语的山里人,unknown,real ns pro,中国-河南
一条疯狂的毛巾,unknown,不会是GB到GBC这种的程度换代吧,中国-广东
凌柏秋翎,unknown,大黑边留着后面升级是吧😄💧,中国-广东
我是咕咕鸪啊,male,之前爆料的dlss和光追会上吗[哦呼],中国-陕西
查克诺里斯的剃须刀,male,有没有省流告诉我和一代oled有啥区别,中国-河北
老大爷勇闯寡妇村,unknown,载入史册,中国-江苏
梦梦君丿,male,看起来不小啊,中国-辽宁
来个人跟我对线,unknown,这个改成磁吸感觉容易掰坏[微笑],中国-江西
南方猎奇佬,male,手柄改成插拔的了，感觉以老任的品控，很有可能更容易坏[笑哭],中国-浙江
Drifting_alone,male,这大黑边，算了算了,中国-河南
Lellais,unknown,睡觉前刷到了什么 [腾讯招聘_惊呆],中国-江苏
被嫌弃的佳肥帽,male,怎么一眼有种steamdeck的错觉感[喜极而泣],中国-河南
十一维跃迁,unknown,啊啊啊啊,中国-广东
空我丶B1玫瑰,male,明年能进百亿补贴吗[蹲蹲],中国-陕西
liswer,male,家里电视机顶盒坏了搜不到频道了，这个是不是合适？,中国-福建
我是虫棍糕手,unknown,王泪主机模式能不能60？只求这个，卡比主机模式60帧后玩王泪感觉卡到不行,中国-重庆
aBRIBEz,male,你就不能一步到位上oled吗，当然我这话不严谨，因为还不确定屏幕是啥[笑哭],中国-浙江
咕嘟の孜然,male,黑色手柄好丑，能不能改成1的红蓝手柄,中国-上海
一顿晚上饭,male,你变成插槽，以后怎么入水啊！,中国-山东
林克消遣时间,unknown,yysy这个logo真不行吧[BanGDream_有咲-汗]就嗯加个“2”上去呗[BanGDream_巴-尴尬]还有为什么手柄要改成插拔啊我透看着寿命就不能很长的样子[BanGDream_筑紫-不满],中国-山东
布丁和煤球,male,看不到任何亮点,中国-江苏
猫幼的-怠け者,unknown,@贪玩歌姬小宁子,中国-山东
戴口罩的滑稽,unknown,吃着火锅唱着歌，突然就被任天堂给……,中国-广西
Example2023,male,卧槽，全体起立[大哭][大哭][大哭][大哭]（我才买的switch啊啊啊啊啊啊啊啊啊啊）,中国-河南
puDDingシ,male,我没细看，有人知道充电口改位置了没有嘛,中国-江西
你说对对对对,unknown,还是祖传大黑边[大笑],中国-福建
Taliq,unknown,仔细看了一下，应该是有卡扣的,中国-广东
小泽ngm,male,见证历史,中国-河北
曲奇小兮,male,@小兮曲奇,中国-安徽
_大哥惯过谁_,unknown,看着怎么这么像国产山寨机[藏狐],中国-安徽
今晚山楂猹吃什么,unknown,纯路人，看起来大了一点小小小小小的圈然后再让手柄看起来更容易坏，还有什么吗（）,中国-山东
whybuywho,male,除了知道4月2日开直面会，其它啥也没有。这宣传片跟没发没区别,中国-云南
oume_,unknown,这个磁吸口，感觉好容易断啊,中国-陕西
虚空之豪,male,省流：啪啪啪,中国-甘肃
红温仙翁,male,再贵也不可能比win掌机贵,中国-北京
栞のテーマ,unknown,国行有吗，我不买,中国-湖南
执森,unknown,多久买比较合适啊,中国-湖北
不一样的艾迪Edison,unknown,这大黑边又回来了，而且我不喜欢这种镂空的后背支架，没有之前牢固！,中国-广东
低俗小说S,unknown,没仔细看，有董哥说说性能吗,中国-四川
Yuna_Song,male,只关注配置怎么样_(:з」∠)_,中国-广东
您好新未来,male,难怪把模拟器给搞了，原来真是向下兼容啊,中国-广西
你个乱臣贼子,unknown,这个真的该更新换代了，就算只是提升性能也是巨大进步了，我24年年底真的巨想买ns，一玩游戏方便，二是索尼的独占和pc的游戏真的玩腻了，pc的还好点，网游多，索尼腻的不行了，索尼的新游戏还少，当时没买的原因就是因为性能，我真的接受不了30帧，就算是掌机，二是当时都说2代快出了，买一代真有点怨种了（个人感觉），所以思来想去买了rog的掌机，但玩的多的是手游的pc端，比如绝区零，鸣潮，还有神之天平，天命奇御这种独立游戏，现在就等着入手就行了，,中国-安徽
乘枫而行,male,感觉手持会更累[吃瓜],中国-浙江
不正经的咖啡杯,unknown,大黑边无法接受，等待oled/lite版本,中国-湖南
FZHAM,male,等ns2lite版，感觉这个屏幕明明能做全面屏，非要做个大黑边，没有lite版的话就等价格稳定的续航版了,中国-河南
榴莲树下好乘凉,unknown,换汤不换药 没啥新意,中国-黑龙江
笑鱼风羽辰,unknown,卧槽[笑哭],中国-湖南
爱笑無產主義者,male,我靠舅舅党真没骗我，差点以为今天无事发生[笑哭],中国-湖北
WeepingDawn,male,好好好，不过还是更期待护航大作[doge_金箍],中国-河南
cowsepz,male,最近想买Switch那是要等等2出来吗,中国-河南
Vergil_power_,male,见证历史,中国-江苏
皇攻,male,做的太大了哥们！,中国-江苏
Benjack0066,unknown,1:53 可以看到后排咚奇刚(大金刚)造型明显换了 塞了一些电影版的元素,中国-中国台湾
我要次我要次,unknown,主要是机能提升多少呀？,中国-福建
未白镇的小遥,unknown,哥们有没有查到关于售价的情报,中国-上海
ClawYellow,male,Gta6秒了,中国-广东
夏令营游魂,female,快给我看护航游戏名单，好想玩新作啊,中国-河南
大象要ri天,male,官方能把老游戏解锁30帧锁到60嘛？ 像gu，30真的太TM卡了。,中国-四川
三司Ayase綾瀬,male,有没有省流，比Steamdeck强吗,中国-广东
IceDeMint,female,继续玩我的oled了……,中国-湖南
扛着麻袋去偷熊猫,male,直面会之后多久可以发售,海外-英国
azulos,male,显卡不升级也就是还是那个样,中国-辽宁
愈刅Guaiacol,unknown,八年了，终于出了。😭,中国-陕西
氷露,male,能有splt3增强版就出必买 稍微怪多或特效多就卡[藏狐],中国-广东
風止于初夏,unknown,不好意思，我是纯外行，请问性能能打过骁龙8gen1吗[给心心],中国-天津
思念如万箭穿心,unknown,期待新游戏实机画面[打call],中国-江苏
小牛刀试_戒色版,male,买就算了，主力还是pc游戏玩的多，可以考虑入个老版玩玩第三方，不过想到还要买游戏就……,中国-山东
NagamitsuSama,unknown,我手里的Switch OLED突然不香了,中国-上海
最重要的是客户满意度,unknown,能不能玩原神(非反串认真的原神很早之前就已经发过ns预告了你反驳你就是我爹儿子错了谢谢),中国-山东
林有德没眼白,male,几号?[辣眼睛],中国-河南
Kon0suba,male,平板和手柄的接口让我感到不安…,中国-辽宁
bili_110777394,unknown,等oled版，switch又不是真到不能玩的那个地步，卡带都是通用的，不急我只能说[露早GOGO_GOGO队],中国-江苏
看到我请提醒我画图,unknown,[捂眼]机子还没出我就想着限定了，等着出个好看的类似喷喷塞尔达限定再买，全黑有点太素了,中国-福建
沨予砜,unknown,无了无了,中国-湖南
狐白的老巢,unknown,六百六十六，这黑框，两年半再加一年后出oled版[墨镜],中国-广东
Rotom图鉴呀,male,用数字命名确实不是老任以往的作风，名字里一点没有新的创新点体现，只能说是岩田先生逝世的遗憾吧,中国-天津
纸西瓜,male,怕认不出来新机器吗，那么大个2[笑哭],中国-广东
海嵐healen,unknown,拼多多兄弟，下半年靠你了,中国-广东
杨枝甘露少甜,unknown,[笑哭],中国-湖南
娃娃最可爱,unknown,感觉废了 没什么创新,中国-浙江
MrH13,unknown,没看到奥德赛2，期待度少了一大半[笑哭][喜极而泣],中国-湖北
映水河伯,male,只希望能控制还重量，不然玩久了手真的很难受[海虎表情包_波士万岁],中国-福建
牙白超牙白,male,比NS当初的公布视频的冲击差了好多,中国-浙江
本真却流星,unknown,switch2性能相当于多少呢,中国-湖南
光坂高校団子君,male,能玩原神了吗[doge],中国-山东
睡凉席的猫,male,一个游戏都不敢漏呀,中国-广东
没钱买whisky,unknown,非常期待,中国-山东
任妮油书了,male,既然4月2日发布详细的数据，何必今天发这个视频呢，你要是4月2号发售我还能理解 不会要等到10月份才发售吧[藏狐],中国-江苏
喵大师鸭-,male,等NS2 oled，不想要大黑边，还是捣鼓手上的NS吧[吃瓜][吃瓜][吃瓜],中国-四川
yoyo鹿鸣_Lumi-,male,先别说ns2的性能，如果你了解的话，其实目前重成砖的windows掌机性能，也就那样，指望ns2做出1080p60甚至更高，我觉得不太现实，毕竟还要兼顾续航和便携，很难取舍，除非搭载amd的z2芯片，不过续航，发热，都是问题，而且售价就起飞了，等明年4月看看情况吧,中国-北京
沈梦星233,male,好的，我直接淘宝模拟器[微笑],中国-广西
再见理想0205,male,话说马车9真的能护住航吗？怎么怎么着也得是款野炊，奥德赛那种游戏吧。,中国-黑龙江
二次元回首,unknown,感觉没什么长进啊,中国-浙江
阿尔弗雷德是我,unknown,[打call],中国-吉林
看到我请叫我喝可乐,unknown,这大小是掌机？,中国-黑龙江
NINE4_,male,谁有吃灰的 1 代卖给我吧,中国-山西
RETRIC,unknown,磁吸？[笑哭],中国-河南
三好柑哥,male,快破解！！！接下来就可以玩模拟器了！！,中国-广东
LOLlTA酱,unknown,所以一代机能玩二代的游戏吗,中国-湖南
金士顿马脸,male,次于时代的主机,中国-天津
Akiredusty,unknown,我嘞个1.7w人再看啊[笑哭],中国-福建
在下小清,male,让我们恭喜丝之歌又一次取得了胜利[打call],中国-河南
喜茶喝喝喝,unknown,ns2主机模式有骁龙8gen2的跑分水平可以了。1代的x1有845的水平,中国-江苏
女王饲养员,male,没用过switch想问一下能不能玩生化危机[微笑],中国-河南
心灵砒霜受害者,unknown,4月2号是开始能买了还是继续要等？？？？？？？？？？,中国-河北
纯黑海苔片,male,新logo好像饭制视频里会有的样子，真就是加个2[笑哭],中国-江西
旧日追忆者,male,我更想知道护航作是啥。。。能有17年那么惊艳就好了,中国-河北
炸裂大鸟蛋,unknown,以后手柄都是黑色的了？,中国-广东
月夜の文森特,male,这设计真没初代滑扣来的丝滑[捂脸]（感觉不牢固易损坏）,中国-上海
蓬蒿人乎,unknown,oh！！！！！[打call][打call][打call],中国-湖北
原神官b不合不改名,unknown,wowowowowowo！有没有老哥预估一下价格会炒到多少[蹲蹲]现在手上这台太老了打算换，但是新的太贵的话肯定是买不起的,中国-江苏
差点帅死の舟舟,unknown,省流：摇杆不是钛合金的,中国-湖北
樱一花之夏,male,拼多多会出手(,中国-安徽
葡萄糖瓶盖,unknown,[doge]设计比1强不少，不过这边框真实难为你了，不行买个你邻国的解决方案呢？,中国-黑龙江
蓬蒿人乎,unknown,oh！！！！！！！！[星星眼][打call][喜欢][给心心][大笑],中国-湖北
清木和,male,这下任天堂也知道他们有Switch2了（（,中国-云南
镜·猫,unknown,我只在意以前多买的备用手柄还能不能用上,中国-广东
银行修理工,male,不是哥们这黑边认真的嘛 怎么看着比oled版的ns1代还宽,中国-广东
SunsetLover2,unknown,只要能让王泪和野炊稳60帧哪怕还是720p都行[笑哭],中国-黑龙江
半醒未眠,male,完蛋咯，下一代塞尔达又要30帧都跑不满了。。[大哭],中国-吉林
-Elpis-,unknown,更好奇新卡带能不能向下兼容，反正发售这半年肯定是买不起的[Mygo表情包_害羞],中国-湖南
Yo_SaSa,unknown,根据爆料掌机模式性能和sd持平（因为arm芯片的特性，可能略高于sd），底座模式大概ps5silm三分之一性能,中国-广西
椅子和窗帘,male,我的俄罗斯mig switch二代希望还能用哈哈哈,海外-新加坡
江南西道酒徒,male,新玩具来喽,中国-江西
Asura非天,unknown,挺好的[呲牙],中国-安徽
我家有29只猫,male,咔变啪了,中国-河北
丑角精神,unknown,竟然和之前泄露的一模一样，连名字都是想象之内意料之外的ns2,中国-广东
上午的羊习习,male,就怕机子大了屏幕没大多少，这大黑边[偷笑],中国-浙江
红萝卜TV,male,说实话我怎么感觉这磁吸➕针脚的设计还不如滑轨[吃瓜],中国-江苏
不睡觉的小狗子gz,male,存钱存钱！,中国-江苏
緋色玥下,unknown,switch跟switch2一比简直像switch2 lite[笑哭],中国-山东
铜肝铁肾,male,将来买二了，一代借给朋友继续耍[doge],中国-天津
胆小怕生的人,unknown,2025年了还有这么大的黑边？,中国-广西
筱晓zzZ,female,这个屏减去黑白感觉和OLED差差不多,中国-浙江
旺冻鱼,male,兜兜转转可能又是7年,中国-浙江
Malicc,unknown,这算switch的配置加强升级版吗？名字也没改[笑哭],中国-四川
载着快乐,male,@风险大红枣 啊？,中国-甘肃
嗚鳴嗚,unknown,"每個月都猜,總有..... 啊?",中国-中国台湾
30天以后复活,unknown,我需要1080p60帧都王国之泪！！！！！！！！！[喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢],中国-辽宁
Genm神之才能,male,21年以为疫情switch延迟发货就退了，后面模拟器玩了野炊。23年买了王泪卡带结果switch犹犹豫豫又没买，不知不觉一年多过去了。。。终于盼到ns2了,中国-江苏
螺丝丢,unknown,我还是期待一下min款吧,中国-新疆
练习时长两年半的阿陨,unknown,我才这次Switch2应该是重点提升机能，其他的话应该也就是换个系统[doge],中国-上海
埃德沃特蓝鲸,unknown,哈哈 我的智慧再现才开始玩,中国-江苏
瓦格纳指挥官,unknown,就变大了,中国-浙江
长夜若静,male,目前来看就是，放大了，可能性能好了，画质好了，就这些[喜极而泣]真希望发布会的时候能整一些花活出来,中国-浙江
说笑的笑话,unknown,4月2日发布吗,中国-广东
bili_40155778,female,一个破正常换代还能叫见证历史，pxj也是够唐的,中国-湖南
稳重的谋校尉-,unknown,感觉这黑的没有红蓝好看啊,中国-湖南
墙上的门镜中的人,male,兄弟的switch还没捂热乎呢就出2了,中国-山东
柳枝缘,unknown,性能是一点都不敢提呀,中国-上海
DarkHenryHyde,unknown,果然是16号！[星星眼],中国-辽宁
茉子我的,male,这次会有国行吗？[OK]勇士已迫不及待。,中国-广东
对不起我是太刀虾,unknown,见证历史的太唐了,中国-四川
夜屋邪揶,unknown,见证历史,中国-江苏
reutss,unknown,能跟ns互通就太满意了,中国-中国澳门
风轻辞旧岁,unknown,看有什么游戏再买机器,中国-安徽
幽灵肥皂,unknown,多出点货吧，买老任机子难得要死,中国-山东
树熊出没请小心,unknown,出来就买系列[点赞],中国-上海
緋色玥下,unknown,部分不支持？会不会是只能兼容第一当啊,中国-山东
在世间吖,male,ns的游戏存档都在机器里面吧？就算兼容卡带，游戏进度怎么办呀(o'ω'o)？,中国-北京
超级好人容易被困住,unknown,总算要有新游戏玩了,中国-广东
阿北艾i,unknown,这大黑边是祖传的吗？？,中国-江苏
心死会掉kd吗,unknown,明年6月高考完日本旅游带一台[doge],中国-广东
出云小湛,male,护航作？,中国-海南
莲心遥,male,看价格了，同价格感觉打不过ps5，ns的游戏阵容其实是吃了一部分wiiu的资源和掌机的资源，现如今开发成本和周期提高，第一方能有ns一半就算赢了,中国-广东
黑锋328,unknown,我只想知道pro手柄兼容吗，没兴趣再去买个手柄,中国-上海
星神孙连城,male,展示多少优点，就能看到多少缺点,中国-吉林
雕花魂,unknown,买完玩几天.啪的一声，就吃灰了！,中国-江苏
魈螺號本人,unknown,国内能平价买到估计得6月了，不急慢慢等,中国-宁夏
歌者燎原,unknown,第一代有便宜要出的吗？,中国-江苏
0nlyyyyyy,male,护航作是什么呀,中国-上海
牛胖子500斤,unknown,那么问题来了 王国之泪在NS2上会不会出60帧画质加强版？感觉也挺适合做首发护航的[藏狐],中国-上海
魈螺號本人,unknown,和泄露的一模一样哈哈,中国-宁夏
风情少男777,unknown,如果航母级别边框 注定等窄边的出了入！,中国-湖北
AbelCamus,unknown,终于！,中国-福建
阿坝阿吧啊吧谷,unknown,这个手柄真的是天才设计师，已经可以想到首发掰断的场景了[doge][doge][doge],中国-福建
hyrule_warrior,unknown,不能向下兼容的游戏肯定有以下几个: 健身环，laobo系列。欢迎补充。,中国-浙江
睡衣小子帕门,unknown,期待一下具体性能参数[兔兔岛_吃面],海外-日本
小汐汐桑,unknown,毫无惊喜 全剧透完了 只是最后官方认证一下,中国-上海
光速哎呀,unknown,插眼合影,中国-山西
小小不幸,unknown,你这两个手柄成黑色了我是真无语,中国-广西
这个桃子有点芒,male,[藏狐]有一种nds升级3ds的错觉,中国-辽宁
胺条子DA,unknown,抛光了，升级接口,中国-广东
sher519,unknown,卡带通用，烧录卡怎么办？,中国-广东
-星乃一歌-,unknown,参考一代，发售价大概多少？,中国-河北
一生一世个水果蛋糕,unknown,就不能把大黑边改改吗[笑哭],中国-云南
蓬蒿人乎,unknown,[打call][打call][打call],中国-湖北
9cm的Awanina,unknown,等一波za限定机[少女乐队的呐喊表情包_胸有成竹][少女乐队的呐喊表情包_胸有成竹][少女乐队的呐喊表情包_胸有成竹],中国-广东
你想辩先动动脑,unknown,手柄背部下侧还是平的，又需要买握把撑手了,中国-河南
迷你塞钱箱,female,真叫switch2啊[笑哭],中国-广东
快睡吧阿离,unknown,五年后我会买的,中国-黑龙江
饭胡涂,male,ns1的手柄能在2上面蓝牙连接用吗,中国-江苏
佐佑氏,male,机身太大，黑边也大。这玩意过几年必定有屏幕增大版，喜欢掌机模式的嫌大的还是等lite，一定会有的，先玩一代oled吧。,中国-广东
Xenogears-Bo,male,牛🍺.jpg,中国-贵州
杀死布鲁,male,这黑边超级小了。。。用过switch的都知道,中国-广东
-长期素食导致的_,unknown,不懂就问，我的4090能玩吗[嗑瓜子],中国-广东
JimmyBoyPG,male,就看护航的作品了,中国-广东
空白若迷,male,怪猎崛起能60吗[藏狐],中国-河南
昏睡后辈,male,@艾思骑士,中国-四川
獨滄雩誓,female,看看性能,中国-浙江
胖罐罐儿不是煤气罐,male,刚买了ps5pro，今年玩索尼，明年ns2阵容养肥了再买[doge_金箍][doge_金箍][doge_金箍],中国-陕西
AUSN软绵绵工坊,male,洗脚洗着洗着公告了,中国-浙江
安慕西希夕,unknown,还是看看远处的gta6吧家人们[OK],中国-北京
尤斯蒂娅的小动物,male,不知道护航作除了马车还有没有其他的，个人不太喜欢玩赛车游戏,中国-福建
螃蟹星星兽,unknown,什么配置？,中国-广西
x1730751122,unknown,玩任天堂谁是奔着性能去的，核心游戏才是主体。现在很多GBA上古游戏都吊打现在的游戏。除了画质不行之外,中国-广东
云峰宝,male,好了我真的彻底相信我有个世界富豪的爸妈了。,中国-四川
JOJO是个好名字,male,终于，任天堂知道了自己什么时候发ns2,中国-广东
最平凡の少爷,male,2代不是手柄滑扣了。。。改成磁力吸了[doge][doge]估计首发价格得溢出吧。。我还是看看他会不会出oled版本在考虑吧,中国-福建
屁的爱情回归版,unknown,@忧空yokon,中国-海南
安九冉1,unknown,保真吗？,中国-江苏
若耶溪です,unknown,憋了8年就出了个2代，说好的创新呢，后面345接着数？数完我正好退休[辣眼睛],中国-上海
守护东乡王国的黑骑士,unknown,老游戏的体验会不会自动升级呢我想问,中国-广东
沐风与云,male,活久见啊，大学四年switch玩的特别开心，switch2总算来了,中国-安徽
做个好备胎,unknown,Ns2的游戏能在1上玩吗，我是国行硬破,中国-江苏
阿罗哈-就是歌多,unknown,三丧8nm预定[元梦_哭哭],中国-湖北
掌上Taiga,male,@Houkago-TEA-TIME,中国-山东
一个大大大大大大菠萝,male,终于来啦！！！,中国-江西
西伯利亚大佬鼠,female,byd我的OLED砸脸都出暴击，这个ns2不得出真伤啊[吃瓜],中国-河南
云峰宝,male,我就抱着我的switch红色oled一辈子了。,中国-四川
改名字需要n个硬币,male,价格呢？之前出了一个，就等2了,中国-河北
银子kerying,female,Ns的开机不会从“嗒”变成“啪”吧？,海外-马来西亚
This_Jvcki_Wai,female,存钱存钱！看看3200能不能拿下！[doge],中国-广东
孛偩双刀,unknown,最后卖的肯定没ns多，而且我感觉是远远不如,中国-湖南
派拿波,unknown,账号里的游戏能借着玩吗，号里挺多游戏的,中国-辽宁
秋月筱翊,male,新马车？所以什么时候出马车9[doge],中国-陕西
iwsback,unknown,手柄插进去的时候我居然想到了个歌查德,中国-江苏
梦与谁人依丶,male,已经不是掌机嘞[大哭],中国-天津
面包哦飞手,unknown,会有时之笛重置吗！！！,中国-河南
K2卡特,male,[支持],中国-河北
面包哦飞手,unknown,我靠，终于等到了,中国-河南
猫咪萌萌爱吃鱼,male,健身环：遭了！！,中国-广东
Jatwu,male,那么问题来了，两个c口是干嘛的，有截屏键那右边c键是干嘛的[doge],海外-澳大利亚
亞程,unknown,手柄采用这种插口？ 会不会很容易坏啊？ 毕竟这次平板加大了不少，重了不少啊。,中国-广东
爨灪麤彠蠿龘羃齑瀪龘,unknown,每一次更新换代都是一台新机种，一种新玩法，但如今……又过了一个七年，等到的却是ns2代，说实话，有一点点失望，但又不知廉耻的有一点点期待，毕竟有总比没有好，只希望有生之年还能等到我心心念念的黄金太阳2重置以及重装机兵5吧[蹲蹲],中国-江苏
白夜来临,unknown,[笑哭]怎么我感觉退化或者没变化，手柄能不能做点人体工学，按键灵动一点之类的，还有加上双持时手腕固带防摔，以前滑扣就不错，换成磁吸手一拉不就屏幕落地,中国-广东
求执着,unknown,阿草了，我买的一堆卡带，数字版少,中国-山西
朝夕云南,male,盲猜护航作3d马，马车9，宝可梦ZA,中国-北京
Aimer名叫赵艾美,unknown,我要在switch2生命周期里面玩到丝之歌！！,中国-山东
凤之情殇,male,Ns还是卖的太好了，老任一点大更新升级的动力都没有[辣眼睛],海外-澳大利亚
紫影天华,unknown,冲冲冲，性能大升级，老玩家必换的,中国-广东
路边一条发情的野狗,unknown,这个磁吸接口有点[捂脸],中国-上海
五彩大泡泡,unknown,见证历史,海外-日本
一把沙鹰闯沙漠,unknown,上一次见证历史还是潮汕罢市[星星眼],中国-中国香港
扣分记dnf账上,male,没感觉有多大区别,中国-广东
結晶星,unknown,得一年后买了，首发黄牛+2k买不起[笑哭],中国-浙江
Sakuraと小怪獣,unknown,来了来了,中国-山东
花田茶树,male,都曝光的差不多了，确实没什么惊喜，唯一惊喜就是还真的叫“2”啊第二代。。看来这代主机是太成功了打算延续下去,中国-浙江
funnouye,unknown,还等什么呢 赶紧把动森2喷4端上来,中国-湖南
AAA黑龙江最猛收猪贩,unknown,卖了两三年这玩意 国行外版 售后最多的就是手柄，除此之外就是问日版有没有售后🤔可以想到这代手柄的售后率了,中国-黑龙江
杰克_霜精,male,四月二号,中国-安徽
真田狗剩,male,比较好奇到时候护航游戏会是什么,中国-四川
沉默baby1,male,唯一的不满，为什么变大？保持oled的大小最合适,中国-四川
delicate556,unknown,2要多少钱啊 3000能买吗 多了感觉就不值了,中国-云南
遇见柳婧,female,还是叫ns pro吧[笑哭]，感觉根本不像换代,中国-四川
PinKkNeko-Punch,unknown,早就知道有向下兼容，我更想知道有没有向下优化，能不能让王泪跑满60帧,中国-广东
紅蓝色,unknown,好好好，终于等到了[Mygo表情包_Love],中国-广东
セツナトリップone,male,希望性能强点,中国-北京
